y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
1.2726766303372166;0.2995970858411963;20.0;19.524497569935107;0.0;0.0;0.0;0.0;12260
1.2914963425410635;0.31607021987937656;20.0;19.524500382975436;0.0;0.0;0.0;0.0;12270
1.310309993469581;0.3325413614702215;20.0;19.52450319596771;0.0;0.0;0.0;0.0;12280
1.329117254197945;0.3490101959624158;20.0;19.524506008911924;0.0;0.0;0.0;0.0;12290
1.3479177955576895;0.3654764086072808;20.0;19.524508821808084;0.0;0.0;0.0;0.0;12300
1.3667112881392818;0.3819396845602555;20.0;19.524511634656186;0.0;0.0;0.0;0.0;12310
1.3854974022946929;0.39839970888236126;20.0;19.524514447456234;0.0;0.0;0.0;0.0;12320
1.4042758081399396;0.4148561665416612;20.0;19.52451726020822;0.0;0.0;0.0;0.0;12330
1.4230461755576176;0.43130874241471134;20.0;19.52452007291216;0.0;0.0;0.0;0.0;12340
1.44180817419941;0.44775712128799583;20.0;19.524522885568047;0.0;0.0;0.0;0.0;12350
1.4605614734885861;0.46420098785936004;20.0;19.52452569817588;0.0;0.0;0.0;0.0;12360
1.479305742622482;0.4806400267394248;20.0;19.52452851073566;0.0;0.0;0.0;0.0;12370
1.498040650574952;0.4970739224530009;20.0;19.524531323247388;0.0;0.0;0.0;0.0;12380
1.5167658660988272;0.5135023594404882;20.0;19.524534135711068;0.0;0.0;0.0;0.0;12390
1.5354810577283367;0.5299250220592657;20.0;19.5245369481267;0.0;0.0;0.0;0.0;12400
1.5541858937815138;0.5463415945850754;20.0;19.524539760494275;0.0;0.0;0.0;0.0;12410
1.5728800423626075;0.5627517612133928;20.0;19.524542572813807;0.0;0.0;0.0;0.0;12420
1.59156317136445;0.5791552060607907;20.0;19.52454538508529;0.0;0.0;0.0;0.0;12430
1.6102349484708203;0.5955516131662926;20.0;19.524548197308725;0.0;0.0;0.0;0.0;12440
1.6288950411587955;0.6119406664927182;20.0;19.524551009484117;0.0;0.0;0.0;0.0;12450
1.6475431167010823;0.6283220499280182;20.0;19.52455382161146;0.0;0.0;0.0;0.0;12460
1.6661788421683297;0.6446954472866039;20.0;19.52455663369076;0.0;0.0;0.0;0.0;12470
1.6848018844314312;0.6610605423106606;20.0;19.524559445722016;0.0;0.0;0.0;0.0;12480
1.7034119101638086;0.6774170186714618;20.0;19.524562257705227;0.0;0.0;0.0;0.0;12490
1.7220085858436747;0.6937645599706647;20.0;19.5245650696404;0.0;0.0;0.0;0.0;12500
1.7405915777563041;0.7101028497416033;20.0;19.524567881527524;0.0;0.0;0.0;0.0;12510
1.7591605519962519;0.7264315714505726;20.0;19.52457069336661;0.0;0.0;0.0;0.0;12520
1.7777151744695823;0.7427504084980995;20.0;19.524573505157655;0.0;0.0;0.0;0.0;12530
1.7962551108960885;0.7590590442202122;20.0;19.524576316900657;0.0;0.0;0.0;0.0;12540
1.8147800268114715;0.7753571618896931;20.0;19.524579128595622;0.0;0.0;0.0;0.0;12550
1.8332895875695212;0.7916444447173314;20.0;19.524581940242552;0.0;0.0;0.0;0.0;12560
1.8517834583442827;0.8079205758531591;20.0;19.52458475184144;0.0;0.0;0.0;0.0;12570
1.870261304132207;0.8241852383876854;20.0;19.524587563392295;0.0;0.0;0.0;0.0;12580
1.888722789754277;0.8404381153531176;20.0;19.524590374895112;0.0;0.0;0.0;0.0;12590
